ORIGEM;DESTINO;LATITUDE ORIGEM;LONGITUDE ORIGEM;LATITUDE DESTINO;LONGITUDE DESTINO
F1;A6;-24.802243139711692;-53.29943355567516;-24.799902020012464;-53.29785849964269
F1;G3;-24.802243139711692;-53.29943355567516;-24.805856989534433;-53.29978792575679
A6;A1;-24.799902020012464;-53.29785849964269;-24.784088094684584;-53.294284402290764
A6;A8;-24.799902020012464;-53.29785849964269;-24.790388398777054;-53.29783144404013
A6;G4;-24.799902020012464;-53.29785849964269;-24.786732155554272;-53.29550967939276
A6;G5;-24.799902020012464;-53.29785849964269;-24.79553219555501;-53.292626099977554
A6;A4;-24.799902020012464;-53.29785849964269;-24.838390149090426;-53.36046073898427
A1;A7;-24.784088094684584;-53.294284402290764;-24.783428435366922;-53.29550819171179
A8;G2;-24.790388398777054;-53.29783144404013;-24.792086567225205;-53.30421087710291
G4;A2;-24.786732155554272;-53.29550967939276;-24.731995417678153;-53.2538234116382
G4;A3;-24.786732155554272;-53.29550967939276;-24.73176933125082;-53.25625067126701
G4;R1;-24.786732155554272;-53.29550967939276;-24.73134260497162;-53.257013877936664
R1;G6;-24.73134260497162;-53.257013877936664;-24.720298968907272;-53.248256243808115
G5;R2;-24.79553219555501;-53.292626099977554;-24.814039321945383;-53.27294954403108
R2;G7;-24.814039321945383;-53.27294954403108;-24.831044060691998;-53.246187425763765
A7;R3;-24.783428435366922;-53.29550819171179;-24.777703217710286;-53.29448334404491
R3;A5;-24.777703217710286;-53.29448334404491;-24.765152427988333;-53.29355067410104
A4;G1;-24.838390149090426;-53.36046073898427;-24.839113383514256;-53.33742707570023
