ORIGEM;DESTINO;LATITUDE ORIGEM;LONGITUDE ORIGEM;LATITUDE DESTINO;LONGITUDE DESTINO
F1;G3;-24.29947457408084;-53.31424250341092;-24.300960604059316;-53.31275550592554
G3;R1;-24.300960604059316;-53.31275550592554;-24.2939107560578;-53.31214508412623
R1;A1;-24.2939107560578;-53.31214508412623;-24.286114476617115;-53.31016217352852
G3;R2;-24.300960604059316;-53.31275550592554;-24.294754505045663;-53.311273966287814
R2;A2;-24.294754505045663;-53.311273966287814;-24.267397256228517;-53.30448650093179
G3;R3;-24.300960604059316;-53.31275550592554;-24.29666530995683;-53.315021716222645
R3;G1;-24.29666530995683;-53.315021716222645;-24.250025739109926;-53.343102315465906
G3;R4;-24.300960604059316;-53.31275550592554;-24.29739417731968;-53.314581881790936
R4;G2;-24.29739417731968;-53.314581881790936;-24.292218215050262;-53.31658576325236
G3;R5;-24.300960604059316;-53.31275550592554;-24.34429959966793;-53.24668985980157
R5;R6;-24.34429959966793;-53.24668985980157;-24.36077714584116;-53.22876981350161
R6;G4;-24.36077714584116;-53.22876981350161;-24.369816079743643;-53.22183249984571
