ORIGEM;DESTINO;LATITUDE ORIGEM;LONGITUDE ORIGEM;LATITUDE DESTINO;LONGITUDE DESTINO
GE001;S-A-001;-26.125144;-53.038053;-26.149718677384;-53.018981962476
GE002;S-A-001;-26.179654;-53.034713;-26.149718677384;-53.018981962476
GE008;GE066;-26.161845;-52.962562;-26.15551;-52.980605
GE066;GE001;-26.15551;-52.980605;-26.125144;-53.038053
GE010;GE064;-26.184754;-52.995103;-26.14818;-53.02522
GE064;S-A-001;-26.14818;-53.02522;-26.149718677384;-53.018981962476
GE011;GE067/068;-26.178913;-53.072063;-26.161617;-53.015026
GE067/068;S-A-001;-26.161617;-53.015026;-26.149718677384;-53.018981962476
GE012;S-A-001;-26.155647;-53.025472;-26.149718677384;-53.018981962476
GE014;GE064;-26.184875;-52.995187;-26.14818;-53.02522
GE036;GE067/068;-26.15427;-53.03129;-26.161617;-53.015026
GE037;GE001;-26.14770191;-53.0319984;-26.125144;-53.038053
GE038;GE001;-26.139691;-53.035501;-26.125144;-53.038053
GE039;GE036;-26.157075;-53.036291;-26.15427;-53.03129
GE041;GE066;-26.161782;-52.962889;-26.15551;-52.980605
GE053;GE064;-26.15549;-53.017884;-26.14818;-53.02522
GE062;GE066;-26.160197;-52.968388;-26.15551;-52.980605
GE064;S-A-001;-26.14818;-53.02522;-26.149718677384;-53.018981962476
GE069;GE066;-26.15308938;-52.97511384;-26.15551;-52.980605
